매장명,주소,위도,경도
다산제이원점,경기도 남양주시 다산중앙로82번안길 28 (다산동) 124~126호,37.6176699276151,127.164524533412
BMC점,경기도 고양시 일산동구 동국로 32 산학협력관 1층,37.6774630952251,126.806560940457
전북대덕진광장점,전라북도 전주시 덕진구 덕진광장로12 1~2층,35.844416971268,127.124900269013
가산대륭22차점,"서울특별시 금천구 가산디지털1로 146 109,110,111호",37.4787027326644,126.883148970201
진주초전점,경상남도 진주시 초북로20번길 5 1층 /초전동 1710-7,35.2121323410465,128.113073768762
연세대학교원주장례식장점,강원도 원주시 일산로 20 장례식장 1층,37.3491165410267,127.946725775439
원주세브란스기독병원점,강원도 원주시 일산로 20 원주세브란스기독병원 외래센터 1층,37.3491165410267,127.946725775439
(논)탄천휴게소2호점,충청남도 공주시 탄천면 논산천안고속도로 27 (탄천하행휴게소) .,36.3191630806256,127.070040988938
의정부역점,"경기도 의정부시 신흥로232번길 5-31,(의정부동, 아이비타워) 1층",37.7374886885408,127.045136611102
이도점,제주특별자치도 제주시 중앙로 302 (더스프링) 이도이동 1025-9,33.4938136520931,126.534044371519
연트럴파크점,서울특별시 마포구 동교로 233 (연남동) .,37.5609588167788,126.924024982068
강남우리라운지점,서울특별시 강남구 테헤란로 301 역삼동 701-02 삼정빌딩 L층,37.5031256356337,127.043068810036
수원영통점,경기도 수원시 영통구 청명남로 10 /영통동 1000-1,37.2509068323693,127.074128746852
이태원역점,서울특별시 용산구 이태원로 180 2층~3층,37.5342217426698,126.994224816687
오목교역점,"서울특별시 양천구 오목로 344 (목동, 청학빌딩) 1층",37.5237531022074,126.875143110053
메가박스프리미엄만경관점,대구 중구 국채보상로 547 MMC 만경관 4층 .,35.8709538982296,128.590416330125
순천신대점,전라남도 순천시 해룡면 향매로 67 신대리 1978,34.9342873072658,127.546969900843
시흥사거리점,서울특별시 금천구 시흥대로 225 1층 시흥동 994-9,37.4537894156684,126.900461934958
전주효천점,"전라북도 전주시 완산구 쑥고개로 351, 1층 101호~102호 /효자동2가 1326-4",35.8035140201691,127.103563868112
제주도두해안DT점,제주특별자치도 제주시 도두일동 1686 .,33.5090708210399,126.472916205015
고양향동점,"경기도 고양시 덕양구 향기3로 9, 101호 향동동 536",37.5971425127616,126.893649333291
광주북구청점,광주광역시 북구 서방로 2 .,35.1734047738056,126.913243817046
