매장코드,매장명,주소,오픈날짜,위도,경도
1665,대전현대아울렛,대전광역시 유성구 용산동 579 현대프리미엄아울렛 대전점,2020-06-24,36.4239102582203,127.398690240593
2412,유성선병원,"대전광역시 유성구 지족동 923 유성선병원, B1",2025-05-30,36.375000675712,127.324861638124
2026,대전유성NC,대전광역시 유성구 봉명동 549-11 NC대전유성점 1층,2022-08-30,36.3536795315679,127.344015040333
1775,대전구암DT,대전광역시 유성구 구암동 615-26,2021-03-18,36.3488296761587,127.33268322215
2420,대전상대동,대전광역시 유성구 상대동 575,2025-06-26,36.3370813570682,127.332790642361
1854,신세계대전B1,"대전광역시 유성구 도룡동 3-1, 대전신세계 백화점 B1층",2021-08-25,36.3820913,127.3842125
1856,대전엑스포스카이,"대전광역시 유성구 도룡동 3-1, 신세계엑스포점 38층",2021-08-25,36.3820913,127.3842125
2464,대전죽동,대전광역시 유성구 죽동 704-13 럭키빌딩,2025-09-26,36.3693121812269,127.339391059527
2248,대전송강,"대전광역시 유성구 송강동 171-2 화인빌딩, 1층",2024-03-15,36.4342256587429,127.388086838314
1186,대전대사DT,대전광역시 중구 대사동 248-296,2017-03-16,36.3186933150019,127.417555567292
1135,대전태평,대전광역시 중구 태평동 395-1 삼부프라자,2016-11-17,36.3232773471066,127.393349813091
1028,대전유천DT,대전광역시 중구 유천동 185-3,2016-01-27,36.3183209162736,127.398205722065
747,대전중앙로R,대전광역시 중구 은행동 149,2014-03-20,36.3279487284446,127.426601751589
260,은행동,대전광역시 중구 은행동 48-14,2004-12-23,36.3290874210898,127.427670457665
1992,대전목동DT,대전광역시 중구 목동 107-15,2022-07-01,36.33286682129,127.410960847549
2193,서대전네거리,"대전광역시 중구 오류동 151-17, 1층",2023-10-26,36.3230695601753,127.411202959063
1554,울산번영로,울산광역시 남구 달동 117-4 삼성생명빌딩 1F,2019-11-14,35.536945110033,129.327188886118
1483,울산대공원,울산광역시 남구 옥동 143-9,2019-04-30,35.5321278651508,129.293811296859
1417,울산도산사거리DT,울산광역시 남구 야음동 580,2018-09-20,35.5309169021885,129.33012860235
1128,울산시청사거리DT,울산광역시 남구 달동 875-12,2016-11-10,35.5371473850446,129.313554628318
1022,울산남구청DT,울산광역시 남구 신정동 133-1,2015-12-22,35.5441636071143,129.324666670562
1021,울산중리사거리DT,울산광역시 남구 삼산동 1545-5,2015-12-21,35.5438630174475,129.338593009416
895,울산삼산로,울산광역시 남구 삼산동 1478-5,2015-02-12,35.5384857776325,129.337296946709
850,울산대,울산광역시 남구 무거동 619-10 1~3층,2014-10-31,35.542466896474,129.260179577649
739,울산디자인거리,울산광역시 남구 삼산동 1524-6 1~2층,2014-02-24,35.5404636868208,129.338755661252
2460,현대울산B1,울산광역시 남구 삼산동 1521-1 현대백화점 B1층,2025-09-12,35.5396250906147,129.335790155899
2122,울산태화강역DT,울산광역시 남구 삼산동 220-5,2023-05-26,35.5401259074273,129.348642987966
2009,울산번영로DT,울산광역시 남구 달동 1271-16,2022-08-18,35.5354219413052,129.32962001099
2024,울산삼성,울산광역시 남구 달동 1400-1,2022-08-25,35.5343341580471,129.316797298009
2399,울산선암DT,울산광역시 남구 선암동 0,2025-04-24,35.5066591139959,129.312818120244
1658,울산신정DT,"울산광역시 남구 신정동 1636-12, 1636-13, 1636-14, 1637-133, 1670-1, 1774-64",2020-06-19,35.5336178978052,129.301189640004
1633,울산호계DT,"울산광역시 북구 신천동 546-2, 546-7",2020-04-16,35.6379517241071,129.345255908722
1302,울산북구청DT,"울산광역시 북구 연암동 1223-2, 1260-3, 1260-6",2017-12-14,35.5834859860494,129.358904658558
1136,울산진장,울산광역시 북구 진장동 705 메가마트,2016-12-05,35.5626298366564,129.356262084818
1152,울산정자비치DT,울산광역시 북구 산하동 강동산하지구 48B 8L,2016-12-22,35.63355,129.42474
2008,북울산삼성,울산광역시 북구 진장동 1048-3,2022-07-28,35.576521785859,129.35557962315
2212,울산송정,울산광역시 북구 송정동 1232-2,2023-11-16,35.6025505514259,129.365118863295
2082,울산 KTX,울산광역시 울주군 삼남읍 신화리 1606-11,2023-01-19,35.547983823368,129.141803332041
